 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.81964437552E+07    2.19213334558E+07
  21.00   24.00    9.77962563158E+06    1.14479993046E+07
  24.00   28.00    5.22882464094E+06    6.13677433291E+06
  28.00   32.00    2.75155025938E+06    3.25286140054E+06
  32.00   37.00    1.47130662451E+06    1.73564221944E+06
  37.00   43.00    7.49519197282E+05    8.89747286501E+05
  43.00   49.00    3.89289752329E+05    4.58060141602E+05
  49.00   56.00    2.09018189664E+05    2.47169896250E+05
  56.00   64.00    1.10458363881E+05    1.31372259592E+05
  64.00   74.00    5.62731943291E+04    6.65253365866E+04
  74.00   84.00    2.87221211075E+04    3.39540211916E+04
  84.00   97.00    1.46364139912E+04    1.73778141502E+04
  97.00   114.0    6.75355039239E+03    8.01597788091E+03
  114.0   133.0    2.97677823985E+03    3.53926598860E+03
  133.0   153.0    1.36468470697E+03    1.62878964498E+03
  153.0   174.0    6.61052031880E+02    7.89189040368E+02
  174.0   196.0    3.35146747521E+02    4.01468892768E+02
  196.0   220.0    1.74458102540E+02    2.09475983418E+02
  220.0   245.0    9.27369402213E+01    1.11656540022E+02
  245.0   272.0    5.04140472811E+01    6.08996892413E+01
  272.0   300.0    2.79058739741E+01    3.37667769662E+01
  300.0   330.0    1.57421251802E+01    1.90692637639E+01
  330.0   362.0    8.94712574838E+00    1.08812907753E+01
  362.0   395.0    5.16354525535E+00    6.29817129201E+00
  395.0   430.0    3.02738992313E+00    3.70238567294E+00
  430.0   468.0    1.77462783002E+00    2.17652807944E+00
  468.0   507.0    1.04639748697E+00    1.28829270021E+00
  507.0   548.0    6.25716713572E-01    7.74110259169E-01
  548.0   592.0    3.74304414283E-01    4.64183804374E-01
  592.0   638.0    2.23852768587E-01    2.78740219025E-01
  638.0   686.0    1.34676243940E-01    1.68233663484E-01
  686.0   737.0    8.10820861659E-02    1.01858366008E-01
  737.0   790.0    4.87849886793E-02    6.14623029010E-02
  790.0   846.0    2.93456222888E-02    3.71716006126E-02
  846.0   905.0    1.75567541196E-02    2.23390612968E-02
  905.0   967.0    1.04436395478E-02    1.33651347463E-02
  967.0   1032.    6.17420462747E-03    7.94116800829E-03
  1032.   1101.    3.61178602919E-03    4.67547472801E-03
  1101.   1172.    2.09433095825E-03    2.72772896983E-03
  1172.   1248.    1.20111051084E-03    1.57379309654E-03
  1248.   1327.    6.75977298513E-04    8.92254883101E-04
  1327.   1410.    3.74871222572E-04    4.98585303094E-04
  1410.   1497.    2.03578580473E-04    2.73193264640E-04
  1497.   1588.    1.08046630600E-04    1.46084736446E-04
  1588.   1784.    4.14829556236E-05    5.67734277983E-05
  1784.   2116.    7.23401977510E-06    1.01260620309E-05
  2116.   2500.    5.39905814767E-07    7.81322493962E-07
  2500.   3000.    1.84623142816E-08    2.76788587863E-08
