 pT-low pT-high          LO-xsection         NLO-xsection
  18.00   21.00    1.94517301588E+07    2.32661031736E+07
  21.00   24.00    1.07163638962E+07    1.20629053388E+07
  24.00   28.00    5.85097723199E+06    6.46390297061E+06
  28.00   32.00    3.13715359990E+06    3.41854529648E+06
  32.00   37.00    1.70354377750E+06    1.81769835136E+06
  37.00   43.00    8.80425506644E+05    9.30218470880E+05
  43.00   49.00    4.62882738376E+05    4.75841534773E+05
  49.00   56.00    2.51033622879E+05    2.56174441627E+05
  56.00   64.00    1.33890364862E+05    1.36005899023E+05
  64.00   74.00    6.88063878613E+04    6.84715745791E+04
  74.00   84.00    3.54036940162E+04    3.48456212262E+04
  84.00   97.00    1.81763696846E+04    1.78189443618E+04
  97.00   114.0    8.45635168313E+03    8.20192126893E+03
  114.0   133.0    3.76027455643E+03    3.61966643855E+03
  133.0   153.0    1.73769045005E+03    1.66768828168E+03
  153.0   174.0    8.47787885432E+02    8.08274434739E+02
  174.0   196.0    4.33013188501E+02    4.12327841154E+02
  196.0   220.0    2.26982791115E+02    2.15744732004E+02
  220.0   245.0    1.21487307407E+02    1.15381702331E+02
  245.0   272.0    6.65060965707E+01    6.32056278456E+01
  272.0   300.0    3.70614224897E+01    3.51744242587E+01
  300.0   330.0    2.10393832622E+01    1.99350816161E+01
  330.0   362.0    1.20309586949E+01    1.14297942451E+01
  362.0   395.0    6.98407085204E+00    6.64400542142E+00
  395.0   430.0    4.11779973613E+00    3.92157185799E+00
  430.0   468.0    2.42720156227E+00    2.31523384349E+00
  468.0   507.0    1.43893385108E+00    1.37678065046E+00
  507.0   548.0    8.64874998839E-01    8.31290774159E-01
  548.0   592.0    5.19968540585E-01    5.00414604121E-01
  592.0   638.0    3.12500996226E-01    3.01795633850E-01
  638.0   686.0    1.88906554262E-01    1.82845184900E-01
  686.0   737.0    1.14260435462E-01    1.11226515614E-01
  737.0   790.0    6.90622210955E-02    6.73522980840E-02
  790.0   846.0    4.17324756457E-02    4.09087073408E-02
  846.0   905.0    2.50829892599E-02    2.46797613848E-02
  905.0   967.0    1.49909298286E-02    1.48307528029E-02
  967.0   1032.    8.90523323978E-03    8.84665559033E-03
  1032.   1101.    5.23524997685E-03    5.23237446985E-03
  1101.   1172.    3.05111787381E-03    3.06557504601E-03
  1172.   1248.    1.75877870816E-03    1.77602954494E-03
  1248.   1327.    9.95076424015E-04    1.01132121176E-03
  1327.   1410.    5.54836039002E-04    5.67696977412E-04
  1410.   1497.    3.03022600994E-04    3.12572088672E-04
  1497.   1588.    1.61784744027E-04    1.67910683393E-04
  1588.   1784.    6.26486248478E-05    6.57095373324E-05
  1784.   2116.    1.10825310325E-05    1.18668942810E-05
  2116.   2500.    8.42892479179E-07    9.32696667674E-07
  2500.   3000.    2.83795770321E-08    3.27645041490E-08
